RaceTitle,CandidateName,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,De Kalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Kansas City,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,Macon,Madison,Maries,Marion,McDonald,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,St. Charles,St. Clair,St. Francois,St. Louis City,St. Louis County,Ste. Genevieve,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright,
State Senator - District 21 ,Steven Hedrick - LIB , , , , , , , , , , , , ,291 , , , ,159 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,284 , , , , , ,875 , , , ,547 , , , , ,246 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,525 , , ,424 , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 23 ,Tom Dempsey - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72310 , , , , , , , , , , , , , , , , , ,
State Senator - District 25 ,Terry Swinger - DEM , , , , , , , , , , , ,5026 , , , , , ,1117 , , , , , , , , , , , , , , , , ,5337 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2330 , , , , ,3812 , , , , , ,3987 , , , , , , , , , , , , , , , , , ,1761 , , , , , , , ,4543 , , , , , , , , , , , ,
State Senator - District 25 ,Doug Libla - REP , , , , , , , , , , , ,11518 , , , , , ,1592 , , , , , , , , , , , , , , , , ,5056 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2363 , , , , ,3215 , , , , , ,2140 , , , , , , , , , , , , , , , , , ,1772 , , , , , , , ,8101 , , , , , , , , , , , ,
State Senator - District 27 ,Wayne Wallingford - REP , , , , , , , , ,4315 , , , , , , ,29734 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3925 , , , , , , , , , , , , , , , , , ,6332 , , , , , , , , , , , , , , , ,13255 , , , , , , , , , , , , , , , , ,4330 , , , ,
State Senator - District 29 ,David Sater - REP , , , , ,12144 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13580 , , , , , , , , ,6575 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13503 , ,18209 , , , , , , , , ,
State Senator - District 31 ,Charles A. (Charlie) Burton - DEM , , , , , ,1491 ,2897 , , , , , , , , , , , ,17432 , , , , , , , , , , , , , , , , , , , , , , ,3925 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2630 , , , , , , ,
State Senator - District 31 ,Ed Emery - REP , , , , , ,4144 ,4618 , , , , , , , , , , , ,29721 , , , , , , , , , , , , , , , , , , , , , , ,5812 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5698 , , , , , , ,
State Senator - District 33 ,Mike Cunningham - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5478 , , , , , , , , , , , ,13700 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3428 , ,3608 , , , , , , , , , , , , , ,4410 , , , , , , , , , , , , , , , , ,8997 , , , , ,13404 , ,6834 ,
State Representative - District 1 ,Mike Thomson - REP , , ,2475 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2152 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8258 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,946 , ,
State Representative - District 2 ,Casey Guernsey - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2710 ,3019 , , , , , ,1951 , , ,3151 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 2 ,Jim Nash - IND , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,644 ,1035 , , , , , ,875 , , ,502 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 3 ,Rebecca McClanahan - DEM ,3997 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,414 , , , , , , , , , , , , , , , , , , , , ,691 , , , , , , , , , , , , , , , , , , , ,1057 , , , , , , , , , ,
State Representative - District 3 ,Nate Walker - REP ,3931 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1220 , , , , , , , , , , , , , , , , , , , , ,1597 , , , , , , , , , , , , , , , , , , , ,1552 , , , , , , , , , ,
State Representative - District 4 ,Craig Redmon - REP ,1646 , , , , , , , , , , , , , , , , , , , , , ,2582 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1587 , , , ,3869 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1520 ,1595 , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 5 ,Tom Shively - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4497 , , , , , ,616 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2026 , , , , , , , , , , , , , , , , , , ,
State Representative - District 5 ,Lindell F. Shumake - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7445 , , , , , ,429 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1215 , , , , , , , , , , , , , , , , , , ,
State Representative - District 6 ,Diana J. Scott - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,597 , ,2541 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2421 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 6 ,Tim Remole - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,635 , ,4538 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4998 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 7 ,Harry Wyse - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1545 , , , , , , , , , , , , , , , , , , ,1946 ,2267 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 7 ,Mike Lair - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2731 , , , , , , , , , , , , , , , , , , ,2178 ,3721 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 8 ,James T. (Jim) Crenshaw - DEM , , , , , , , , , , , , ,1284 , , , , , , , , , , ,595 ,3705 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,640 , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 8 ,James W. (Jim) Neely - REP , , , , , , , , , , , , ,2687 , , , , , , , , , , ,1106 ,5905 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,788 , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 9 ,Delus Johnson - REP , ,7079 , , , , , , , , ,8051 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 10 ,Pat Conway - DEM , , , , , , , , , , ,10244 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 11 ,Galen Wayne Higdon Jr. - REP , , , , , , , , , , ,10862 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2454 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 12 ,Ken Wilson - REP , , , , , , , , , , , , , , , , , , , , , , , ,11540 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4025 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 13 ,Gerry Byrne - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7192 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 13 ,Nick Marshall - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11712 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 14 ,Eric Pendell - DEM , , , , , , , , , , , , , , , , , , , , , , , ,192 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7799 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 14 ,Ron Schieber - REP , , , , , , , , , , , , , , , , , , , , , , , ,204 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9459 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 15 ,Jon Carpenter - DEM , , , , , , , , , , , , , , , , , , , , , , , ,9294 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 15 ,Kevin Corlew - REP , , , , , , , , , , , , , , , , , , , , , , , ,7251 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 16 ,Jim Sweere - DEM , , , , , , , , , , , , , , , , , , , , , , , ,7138 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 16 ,Noel J. Shull - REP , , , , , , , , , , , , , , , , , , , , , , , ,11290 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 17 ,Mark Ellebracht - DEM , , , , , , , , , , , , , , , , , , , , , , , ,8500 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 17 ,Myron Neth - REP , , , , , , , , , , , , , , , , , , , , , , , ,8713 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 18 ,Jay Swearingen - DEM , , , , , , , , , , , , , , , , , , , , , , , ,12694 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 19 ,John Joseph Rizzo - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2178 , , , ,4392 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 20 ,John A. Mayfield - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7692 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 20 ,Brent Lasater - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7514 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 21 ,Ira Anders - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8691 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 21 ,Vicki Riley - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6264 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 22 ,Brandon Ellington - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566 , , , ,12614 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 23 ,Randy D. Dunn - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10667 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 24 ,Judy Morgan - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13323 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 24 ,Jonathan Sternberg - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2733 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 25 ,Jeremy LaFaver - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13110 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 25 ,Sally Miller - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7685 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 25 ,Delmira Quarles - WI , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 26 ,Gail McCann Beatty - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16205 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 27 ,Bonnaye V. Mims - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,669 , , , ,12831 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 28 ,Tom McDonald - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7148 , , , ,1971 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 28 ,Jim Aziere - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5739 , , , ,1072 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 29 ,John Sutton - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5434 , , , ,2746 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 29 ,Noel Torpey - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7091 , , , ,2392 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 30 ,Shere Alam - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6857 , , , ,449 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 30 ,Mike Cierpiot - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10835 , , , ,500 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 31 ,Dale Walkup - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7382 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 31 ,Sheila Solon - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9505 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 32 ,Sherbaz Khan - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5443 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 32 ,Jeanie Lauer - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11015 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 33 ,Ron Harvey - DEM , , , , , , , , , , , , , , , , , , ,3407 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2389 , , , , , , ,18 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 33 ,Donna Pfautsch - REP , , , , , , , , , , , , , , , , , , ,5838 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4322 , , , , , , ,33 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 34 ,Jeff Grisamore - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14828 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 35 ,Gary Cross - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13277 , , , ,953 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 36 ,Kevin McManus - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13762 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 37 ,Joe Runions - DEM , , , , , , , , , , , , , , , , , , ,819 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7749 , , , ,1245 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 37 ,Nola Wood - REP , , , , , , , , , , , , , , , , , , ,1181 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4711 , , , ,1218 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 38 ,Kevin Morgan - DEM , , , , , , , , , , , , , , , , , , , , , , , ,6997 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 38 ,T.J. Berry - REP , , , , , , , , , , , , , , , , , , , , , , , ,10215 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 39 ,Will Talbert - DEM , , , , , , , , , , , , , , , , ,1277 , , , ,1316 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4285 , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 39 ,Joe Don McGaugh - REP , , , , , , , , , , , , , , , , ,2985 , , , ,1562 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4176 , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 40 ,Paul Quinn - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,111 , , , , , , , , , , , ,1906 , , , , , , , , , , , , ,3094 , , , , ,2306 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 40 ,Jim Hansen - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,156 , , , , , , , , , , , ,1080 , , , , , , , , , , , , ,4121 , , , , ,2642 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 41 ,Ed Schieffer - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9589 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 41 ,Beverly A. Steiniger - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6857 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 42 ,Bart Korman - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4645 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,995 , , , , , , , , , , , ,8812 , , , , , ,
State Representative - District 43 ,Ed Lockwood - DEM , , , ,3487 , , , , , , , , , ,1472 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 43 ,Jay D. Houghton - REP , , , ,6049 , , , , , , , , , ,2653 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 44 ,Ken Jacob - DEM , , , , , , , , , ,7560 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,116 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 44 ,Caleb Rowden - REP , , , , , , , , , ,7801 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,195 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 45 ,Chris Kelly - DEM , , , , , , , , , ,10274 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 46 ,Stephen Webber - DEM , , , , , , , , , ,12202 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 46 ,Fred Berry - REP , , , , , , , , , ,6564 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 47 ,John A. Wright - DEM , , , , , , , , , ,6988 , , , , , , , , , , , , , , , , ,156 , , , , , , , , , , , , , , , , , ,347 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,647 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 47 ,Mitch Richards - REP , , , , , , , , , ,6003 , , , , , , , , , , , , , , , , ,238 , , , , , , , , , , , , , , , , , ,474 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,874 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Representative - District 48 ,Ron Monnig - DEM , , , , , , , , , , , , , , , , ,0 , , , ,431 , , , , , ,2013 , , , , , , , , , , , , , , , , , ,1957 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,350 , , , , , , , ,178 , , , ,1132 , , , , , , , , , , , , , , , , , , , , , , , ,
